Origem,Visualizações,Visualizações Únicas,Plays,Plays Únicos,Engajamento,Play Rate,Retenção ao Pitch,Visualizações na Retenção ao Pitch,Cliques no Botão,Conversões,Taxa de Conversão,Receita
AD04-+209+[IA]+-+3+formas,17.046,12.576,7.366,6.831,"51,00%","54,31%","25,77%",1.800,742,0,"0,00%","R$ 0,00"
220+[V2]+DeepSeek+VSL2,13.071,10.554,6.147,5.783,"50,00%","54,79%","24,25%",1.412,609,0,"0,00%","R$ 0,00"
220+[V3]+DeepSeek+VSL2,8.776,7.307,4.096,3.913,"45,00%","53,55%","21,05%",829,352,0,"0,00%","R$ 0,00"
AD05-+209+[IA]+-+3+formas,5.026,3.769,2.115,2.010,"50,00%","53,32%","25,22%",514,204,0,"0,00%","R$ 0,00"
223_Por_que_criar_Agentes_vsl_2,3.908,3.107,1.942,1.819,"54,00%","58,54%","29,35%",539,233,1,"0,05%","R$ 814,80"
AD02-+209+[IA]+-+3+formas,2.775,2.024,1.134,1.075,"48,00%","53,11%","24,40%",266,112,0,"0,00%","R$ 0,00"
AD05_209,2.240,1.732,1.052,983,"60,00%","56,75%","31,36%",314,124,0,"0,00%","R$ 0,00"
AD04_209_[IA]_3_formas,1.514,1.279,800,765,"49,00%","59,81%","25,35%",196,99,0,"0,00%","R$ 0,00"
AD02- 209 [IA] - 3 formas,1.440,1.131,656,607,"61,00%","53,66%","33,88%",206,85,0,"0,00%","R$ 0,00"
AD02_209,1.390,1.046,640,575,"59,00%","54,97%","30,28%",179,70,1,"0,17%","R$ 814,80"
AD04- 209 [IA] - 3 formas,1.238,907,573,524,"67,00%","57,77%","37,16%",197,79,0,"0,00%","R$ 0,00"
220 [V2] DeepSeek VSL2,965,715,440,420,"61,00%","58,74%","32,93%",139,64,0,"0,00%","R$ 0,00"
229_[V6]_Estáticos_Promessa_VSL_2,450,336,184,171,"39,00%","50,89%","17,71%",31,10,0,"0,00%","R$ 0,00"
AD02_209_[IA]_3_formas,433,387,214,206,"48,00%","53,22%","27,05%",56,29,1,"0,48%","R$ 814,80"
AD04_209,372,281,147,131,"63,00%","46,61%","35,82%",48,18,0,"0,00%","R$ 0,00"
230_Termos_técnicos_V2_VSL_2,346,282,143,137,"42,00%","48,58%","21,58%",30,14,0,"0,00%","R$ 0,00"
224_[V1]_Termos_técnicos_VSL_2,159,122,60,56,"38,00%","45,90%","18,96%",11,7,0,"0,00%","R$ 0,00"
AD05_209_[IA]_3_formas,144,104,76,67,"64,00%","64,42%","34,78%",24,14,0,"0,00%","R$ 0,00"
227_[V2]_Projeto_DeepSeek_VSL_2,140,126,50,48,"34,00%","38,09%","18,75%",9,7,0,"0,00%","R$ 0,00"
220 [V3] DeepSeek VSL2,92,53,43,36,"57,00%","67,92%","29,72%",11,4,0,"0,00%","R$ 0,00"
222+[V4]+-+Carrossel+DeepSeek,77,38,6,5,"43,00%","13,15%","40,00%",2,0,0,"0,00%","R$ 0,00"
227_[V1]_Projeto_DeepSeek_VSL_2,75,59,36,34,"38,00%","57,62%","17,64%",6,2,0,"0,00%","R$ 0,00"
AD05- 209 [IA] - 3 formas,68,34,23,18,"63,00%","52,94%","36,84%",7,5,0,"0,00%","R$ 0,00"
224_[V2]_Termos_técnicos_VSL_2,67,53,23,20,"40,00%","37,73%","18,18%",4,2,0,"0,00%","R$ 0,00"
222+%5BV2%5D+-+Carrossel+DeepSeek,42,7,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
229_[V3]_Estáticos_Promessa_VSL_2,42,32,11,11,"67,00%","34,37%","36,36%",4,1,0,"0,00%","R$ 0,00"
229_[V1]_Estáticos_Promessa_VSL_2,39,23,9,9,"75,00%","39,13%","55,55%",5,1,0,"0,00%","R$ 0,00"
AD01-+209+[IA]+-+3+formas,31,3,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
229_[V2]_Estáticos_Promessa_VSL_2,28,24,9,9,"33,00%","37,50%","11,11%",1,0,0,"0,00%","R$ 0,00"
{{ad.name}},26,21,17,14,"52,00%","66,66%","21,42%",3,2,0,"0,00%","R$ 0,00"
210+[IA]+-+Bolinhas,14,5,1,1,"0,00%","20,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
AD03-+209+[IA]+-+3+formas,10,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
222 [V4] - Carrossel DeepSeek,9,5,3,3,"86,00%","60,00%","66,66%",2,0,0,"0,00%","R$ 0,00"
239_IA_leva_10_anos_VSL_5_2_24_horas,9,4,1,1,"99,00%","25,00%","100,00%",1,0,0,"0,00%","R$ 0,00"
210 [IA] - Bolinhas,8,2,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
foundation_models,8,1,2,1,"2,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
