Origem,Visualizações,Visualizações Únicas,Plays,Plays Únicos,Engajamento,Play Rate,Retenção ao Pitch,Visualizações na Retenção ao Pitch,Cliques no Botão,Conversões,Taxa de Conversão,Receita
220_[V2]_DeepSeek_VSL_2_5_vitalicio,1.074,934,524,509,"29,00%","54,49%","0,00%",0,17,0,"0,00%","R$ 0,00"
AD05_209_3_formas_VSL_2_5_vitalicio,856,650,342,323,"43,00%","49,69%","0,00%",0,14,0,"0,00%","R$ 0,00"
220_[V3]_DeepSeek_VSL_2_5_vitalicio,399,339,170,169,"21,00%","49,85%","0,00%",0,4,0,"0,00%","R$ 0,00"
AD02_209_3_formas_VSL_2_5_vitalicio,292,215,121,117,"19,00%","54,41%","0,00%",0,0,0,"0,00%","R$ 0,00"
AD04_209_3_formas_VSL_2_5_vitalicio,198,174,94,89,"26,00%","51,14%","0,00%",0,2,0,"0,00%","R$ 0,00"
{{ad.name}},81,66,32,30,"49,00%","45,45%","0,00%",0,2,0,"0,00%","R$ 0,00"
deepseek_masterclass,15,1,14,1,"0,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
AD04-+209+[IA]+-+3+formas,5,1,2,1,"0,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
220+[V2]+DeepSeek+VSL2,3,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
{{ad.,2,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
V2+-+242_Sua_própria_IA_VSL_5,1,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
