Origem,Visualizações,Visualizações Únicas,Plays,Plays Únicos,Engajamento,Play Rate,Retenção ao Pitch,Visualizações na Retenção ao Pitch,Cliques no Botão,Conversões,Taxa de Conversão,Receita
227_[V2]_Projeto_DeepSeek_VSL_2_6_anual,903,736,387,363,"39,00%","49,32%","15,65%",57,18,0,"0,00%","R$ 0,00"
220_[V2]_DeepSeek_VSL_2_6_anual,663,525,268,260,"31,00%","49,52%","10,00%",26,11,0,"0,00%","R$ 0,00"
220_[V3]_DeepSeek_VSL_2_6_anual,548,458,252,243,"35,00%","53,05%","13,52%",33,10,0,"0,00%","R$ 0,00"
227_[V1]_Projeto_DeepSeek_VSL_2_6_anual,533,414,219,206,"44,00%","49,75%","20,95%",44,19,0,"0,00%","R$ 0,00"
AD04_209_3_formas_VSL_2_6_anual,245,145,94,82,"43,00%","56,55%","20,48%",17,5,0,"0,00%","R$ 0,00"
AD02_209_3_formas_VSL_2_6_anual,33,26,13,13,"36,00%","50,00%","15,38%",2,1,0,"0,00%","R$ 0,00"
AD05_209_3_formas_VSL_2_6_anual,18,17,8,7,"39,00%","41,17%","14,28%",1,0,0,"0,00%","R$ 0,00"
deepseek_masterclass,11,1,8,1,"0,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
220+[V2]+DeepSeek+VSL2,3,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
AD04-+209+[IA]+-+3+formas,2,1,1,1,"3,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
211_[VSL_V1]_Oráculo_VSL_Solution_Aware,1,1,1,1,"50,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
