Origem,Visualizações,Visualizações Únicas,Plays,Plays Únicos,Engajamento,Play Rate,Retenção ao Pitch,Visualizações na Retenção ao Pitch,Cliques no Botão,Conversões,Taxa de Conversão,Receita
211_[VSL_V3]_Oráculo_VSL_Solution_Aware,3.652,2.846,1.584,1.478,"34,00%","51,93%","0,00%",0,165,4,"0,27%","R$ 814,80"
211_[V3]_Oráculo_VSL_Solution_Aware_[Demonstração_pura],344,277,114,106,"45,00%","38,26%","0,00%",0,14,0,"0,00%","R$ 0,00"
{{ad.name}},34,24,20,17,"35,00%","70,83%","0,00%",0,2,0,"0,00%","R$ 0,00"
211_%5BVSL_V3%5D_Oráculo_VSL_Solution_Aware,9,4,3,3,"2,00%","75,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
RMKT_08_imagem,5,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
AD04-+209+[IA]+-+3+formas,5,2,2,1,"99,00%","50,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
V1+-+219_Criativo_de_Curiosidade_Analisador_de_Currículos_VSL_4_revelado,4,1,1,1,"0,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
211 [VSL V3] - Oráculo - VSL Solution Aware,4,2,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
anuncio_PMAX,3,1,1,1,"99,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
foundation_models,2,1,1,1,"4,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
211+[VSL+V3]+-+Oráculo+-+VSL+Solution+Aware,1,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
239_IA_leva_10_anos_VSL_5_2_24_horas,1,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
AD05-+209+[IA]+-+3+formas,1,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
211_[VSL_V3]_Oráculo_VSL_Solution_Aware,1,1,1,1,"40,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
220+[V2]+DeepSeek+VSL2,1,1,1,1,"99,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
