Origem,Visualizações,Visualizações Únicas,Plays,Plays Únicos,Engajamento,Play Rate,Retenção ao Pitch,Visualizações na Retenção ao Pitch,Cliques no Botão,Conversões,Taxa de Conversão,Receita
211_[VSL_V1]_Oráculo_VSL_Solution_Aware,830,626,338,317,"33,00%","50,63%","0,00%",0,25,0,"0,00%","R$ 0,00"
223_Por_que_criar_Agentes_vsl_3,52,42,19,17,"38,00%","40,47%","0,00%",0,0,0,"0,00%","R$ 0,00"
{{ad.name}},11,10,5,5,"9,00%","50,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
AD04-+209+[IA]+-+3+formas,8,5,7,5,"65,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
foundation_models,8,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
214+[IA]+[V3]+-+Prontidão+Short+VSL+Solution,5,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
214+[IA]+[V2]+-+Prontidão+Short+VSL+Solution,2,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
AD04_209_3_formas_VSL_2_5_vitalicio,1,1,1,1,"3,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
211+[VSL+V1]+-+Oráculo+-+VSL+Solution+Aware,1,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
211 [VSL V1] - Oráculo - VSL Solution Aware,1,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
