Origem,Visualizações,Visualizações Únicas,Plays,Plays Únicos,Engajamento,Play Rate,Retenção ao Pitch,Visualizações na Retenção ao Pitch,Cliques no Botão,Conversões,Taxa de Conversão,Receita
foundation_models,1.406,973,241,226,"35,00%","23,22%","0,00%",0,0,0,"0,00%","R$ 0,00"
anuncio_PMAX,1.401,977,315,285,"37,00%","29,17%","0,00%",0,0,0,"0,00%","R$ 0,00"
bio,709,517,243,234,"30,00%","45,26%","0,00%",0,0,0,"0,00%","R$ 0,00"
229_[V6]_Estáticos_Promessa,557,418,214,208,"21,00%","49,76%","0,00%",0,0,0,"0,00%","R$ 0,00"
V3+-+120_Estáticos_LLM,226,175,79,78,"25,00%","44,57%","0,00%",0,0,0,"0,00%","R$ 0,00"
RMKT_05_imagem,213,165,23,20,"36,00%","12,12%","0,00%",0,0,0,"0,00%","R$ 0,00"
3_agentes,189,113,20,20,"28,00%","17,69%","0,00%",0,0,0,"0,00%","R$ 0,00"
oraculo_rag,183,120,38,35,"51,00%","29,16%","0,00%",0,0,0,"0,00%","R$ 0,00"
RMKT_08_imagem,155,98,17,16,"50,00%","16,32%","0,00%",0,0,0,"0,00%","R$ 0,00"
proprio_assistente,145,93,19,16,"45,00%","17,20%","0,00%",0,0,0,"0,00%","R$ 0,00"
RMKT_03_imagem,141,101,24,23,"36,00%","22,77%","0,00%",0,0,0,"0,00%","R$ 0,00"
pmax_ia,123,48,10,7,"54,00%","14,58%","0,00%",0,0,0,"0,00%","R$ 0,00"
deepseek,103,66,22,17,"62,00%","25,75%","0,00%",0,0,0,"0,00%","R$ 0,00"
V1+-+120_Estáticos_LLM,101,81,28,28,"30,00%","34,56%","0,00%",0,0,0,"0,00%","R$ 0,00"
pc_para_ia,87,67,10,10,"55,00%","14,92%","0,00%",0,0,0,"0,00%","R$ 0,00"
AD04-+209+[IA]+-+3+formas,78,45,34,32,"42,00%","71,11%","0,00%",0,0,0,"0,00%","R$ 0,00"
RMKT_04_imagem,76,59,16,16,"47,00%","27,11%","0,00%",0,0,0,"0,00%","R$ 0,00"
RMKT_10_imagem,68,54,11,8,"41,00%","14,81%","0,00%",0,0,0,"0,00%","R$ 0,00"
"O DeepSeek acabou de sair, e já criamos um projeto com ele!",67,39,12,11,"48,00%","28,20%","0,00%",0,0,0,"0,00%","R$ 0,00"
AD05-+209+[IA]+-+3+formas,45,20,15,14,"59,00%","70,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
RMKT_09_imagem,39,30,9,9,"39,00%","30,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
229_[V1]_Estáticos_Promessa,38,30,14,14,"18,00%","46,66%","0,00%",0,0,0,"0,00%","R$ 0,00"
220+[V2]+DeepSeek+VSL2,38,26,19,17,"30,00%","65,38%","0,00%",0,0,0,"0,00%","R$ 0,00"
V3 - 120_Estáticos_LLM,29,20,2,2,"43,00%","10,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
211_[VSL_V3]_Oráculo_VSL_Solution_Aware,28,16,11,11,"37,00%","68,75%","0,00%",0,0,0,"0,00%","R$ 0,00"
Deixe de ser um iniciante em cinco horas,28,8,3,2,"57,00%","25,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
AD05_209,26,18,18,14,"55,00%","77,77%","0,00%",0,0,0,"0,00%","R$ 0,00"
223_Por_que_criar_Agentes_vsl_2,23,12,7,7,"26,00%","58,33%","0,00%",0,0,0,"0,00%","R$ 0,00"
',22,8,2,2,"90,00%","25,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
AD02_209,20,10,9,9,"35,00%","90,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
pesquisa,20,7,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
V2+-+120_Estáticos_LLM,20,15,10,9,"58,00%","60,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
deepseek_masterclass,20,12,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
AD04- 209 [IA] - 3 formas,20,11,11,10,"51,00%","90,90%","0,00%",0,0,0,"0,00%","R$ 0,00"
220+[V3]+DeepSeek+VSL2,18,12,5,5,"12,00%","41,66%","0,00%",0,0,0,"0,00%","R$ 0,00"
ia_local,18,15,4,4,"27,00%","26,66%","0,00%",0,0,0,"0,00%","R$ 0,00"
Descubra a biblioteca que vai facilitar sua vida com IA,18,4,2,2,"0,00%","50,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
139+[IA]+-+Chess+Arena,17,9,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
126+[IA]+-+LangChain+X+Isaac,16,14,1,1,"9,00%","7,14%","0,00%",0,0,0,"0,00%","R$ 0,00"
229_[V3]_Estáticos_Promessa,16,13,4,4,"14,00%","30,76%","0,00%",0,0,0,"0,00%","R$ 0,00"
obsidian-enhanced,16,10,3,2,"78,00%","20,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
groq-yt,14,13,1,1,"7,00%","7,69%","0,00%",0,0,0,"0,00%","R$ 0,00"
239_IA_leva_10_anos_VSL_5_2_24_horas,12,8,5,5,"36,00%","62,50%","0,00%",0,0,0,"0,00%","R$ 0,00"
